gene	exon	mel	mau	sim	sec
kl-2	1	1	1	1	1
kl-2	2	1	1	1	1
kl-2	3	1	4	1	1
kl-2	4	1	1	1	1
kl-2	5	1	2	1	1
kl-2	6	1	1	1	1
kl-2	7	1	1	1	1
kl-2	8	1	9	8	15
kl-2	9	1	4	7	4
kl-2	10	1	11	8	10
kl-2	11	1	5	3	3
kl-2	12	1	6	4	8
kl-3	1	2	3	1	1
kl-3	2	1	1	1	1
kl-3	3	1	1	1	1
kl-3	4	1	1	1	1
kl-3	5	1	1	1	1
kl-3	6	1	1	1	1
kl-3	7	1	1	1	1
kl-3	8	1	1	1	1
kl-3	9	1	1	1	1
kl-3	10	1	2	1	1
kl-3	11	1	1	1	1
kl-3	12	1	1	1	1
kl-3	13	1	1	1	1
kl-3	14	1	1	2	1
kl-3	15	1	1	1	1
kl-3	16	1	1	3	1
kl-5	1	1	3	1	3
kl-5	2	1	1	1	10
kl-5	3	1	1	1	1
kl-5	4	1	1	1	1
kl-5	5	1	1	2	1
kl-5	6	1	1	2	1
kl-5	7	1	1	2	1
kl-5	8	1	1	2	1
kl-5	9	1	2	2	4
kl-5	10	1	1	1	4
kl-5	11	1	1	1	2
kl-5	12	1	1	1	2
kl-5	13	1	1	1	2
kl-5	14	1	1	1	2
kl-5	15	1	1	1	2
kl-5	16	1	1	1	2
kl-5	17	1	3	5	15
PRY	1	1	5	5	10
PRY	2	1	1	1	1
PRY	3	1	2	1	1
ORY	1	2	2	3	2
ORY	2	2	2	3	2
ORY	3	1	2	2	2
ORY	4	1	1	1	1
ORY	5	1	1	1	1
ORY	6	1	1	1	1
ORY	7	1	1	1	2
ORY	8	1	7	2	6
Pp1-Y1	1	1	2	1	1
Pp1-Y2	1	1	2	2	1
CCY	1	1	1	1	1
CCY	2	1	1	1	1
CCY	3	1	2	1	1
CCY	4	1	2	1	1
CCY	5	2	2	2	2
CCY	6	1	2	1	2
Ppr-Y	1	1	2	1	1
Ppr-Y	2	1	1	1	1
Ppr-Y	3	1	1	1	1
Ppr-Y	4	2	1	1	1
Ppr-Y	5	1	1	1	1
Ppr-Y	6	5	1	1	1
ARY	1	1	1	4	4
ARY	2	1	1	4	5
ARY	3	1	1	4	5
ARY	4	1	1	4	4
ARY	5	1	1	4	9
ARY	6	1	1	3	10
wdy	1	4	1	3	15
wdy	2	2	1	1	1
wdy	3	1	2	2	2
wdy	4	1	2	2	2
wdy	5	2	1	1	2
wdy	6	2	2	1	2
