coverage	location
2	U
5	U
17	U
36	U
51	U
52	U
50	U
56	U
51	U
49	U
55	U
47	U
41	U
54	U
68	U
58	U
43	U
50	U
51	U
41	U
39	U
32	U
39	U
30	U
6	U
2	U
7	U
35	U
41	U
55	U
48	U
38	U
43	U
49	U
51	U
52	U
55	U
110	U
40	U
36	U
40	U
42	U
39	U
30	U
32	U
39	U
29	U
41	U
14	U
59	U
54	U
119	U
101	U
68	U
53	U
61	U
37	U
27	U
34	U
61	U
40	U
30	U
15	U
106	U
22	U
60	U
14	U
13	U
25	U
94	U
48	U
11	U
3	U
14	U
42	U
40	U
43	U
20	U
78	U
42	U
37	U
37	U
33	U
40	U
36	U
38	U
41	U
52	U
57	U
70	U
54	U
94	U
271	U
200	U
162	U
49	U
63	U
74	U
86	U
49	U
3	U
3	U
4	U
6	U
49	U
76	U
87	U
26	U
2	U
6	U
3	U
5	U
8	U
9	U
2	U
50	U
72	U
42	U
39	U
156	U
46	U
33	U
29	U
2	U
3	U
27	U
89	U
356	U
740	U
542	U
138	U
92	U
80	U
24	U
4	U
24	U
29	U
36	U
40	U
61	U
37	U
31	U
30	U
39	U
35	U
39	U
32	U
13	U
4	U
37	U
42	U
42	U
25	U
6	U
314	U
107	U
57	U
36	U
32	U
94	U
41	U
103	U
42	U
59	U
37	U
42	U
27	U
55	U
71	U
9	U
15	U
11	U
2	U
3	U
8	U
10	U
10	U
NA	U
2	U
3	U
25	U
36	U
20	U
42	U
172	U
15	U
40	U
56	U
40	U
35	U
32	U
85	U
56	U
12	U
307	U
74	U
67	U
67	U
54	U
60	U
70	U
66	U
55	U
47	U
50	U
59	U
73	U
74	U
56	U
48	U
49	U
65	U
61	U
61	U
54	U
49	U
50	U
74	U
64	U
48	U
56	U
63	U
55	U
56	U
65	U
80	U
64	U
56	U
51	U
44	U
41	U
176	U
246	U
3	U
5	U
4	U
2	U
6	U
6	U
3	U
31	U
24	U
5	U
28	U
48	U
27	U
11	U
14	U
9	U
11	U
8	U
32	U
22	U
4	U
4	U
2	U
2	U
18	U
8	U
2	U
171	U
205	U
37	U
129	U
113	U
67	U
174	U
103	U
62	U
10	U
58	U
137	U
81	U
49	U
12	U
7	U
15	U
5	U
5	U
32	U
12	U
4	U
15	U
6	U
5	U
33	U
54	U
44	U
43	U
69	U
48	U
40	U
19	U
37	U
33	U
38	U
42	U
33	U
13	U
2	U
3	U
11	U
15	U
8	U
29	U
42	U
57	U
53	U
59	U
59	U
84	U
83	U
82	U
87	U
97	U
85	U
56	U
1934	U
77	U
56	U
44	U
47	U
42	U
477	U
1745	U
844.5	U
88	U
46	U
97	U
91	U
41	U
303	U
66	U
60	U
251	U
186	U
16	U
35	U
38	U
41	U
40	U
48	U
42	U
47	U
43	U
45	U
39	U
31	U
40	U
53	U
41	U
48	U
50	U
47	U
42	U
35	U
38	U
27	U
25	U
34	U
44	U
41	U
44	U
39	U
36	U
31	U
39	U
39	U
39	U
76	U
45	U
344	U
356	U
121	U
43	U
86	U
393	U
27	U
30	U
36	U
58	U
43	U
5	U
2	U
38	U
44	U
64	U
49	U
47	U
37	U
33	U
52	U
50	U
31	U
34	U
35	U
41	U
36	U
33	U
31	U
24	U
44	U
74.5	U
37	U
26	U
28	U
31	U
30	U
30	U
38	U
34	U
26	U
29	U
26	U
26	U
26	U
28	U
31	U
145	U
33	U
25	U
44	U
61	U
14	U
35	U
167	U
47	U
49	U
460	U
55	U
57	U
57	U
63	U
59	U
38	U
11	U
42	U
71	U
62	U
58	U
55	U
43	U
46	U
37	U
54	U
69	U
74	U
57	U
47	U
36	U
32	U
15	U
113	U
54	U
55	U
51	U
35	U
30	U
25	U
39	U
41	U
32	U
6	U
32	U
40	U
42	U
49	U
38	U
47	U
53	U
73	U
55	U
49	U
48	U
71	U
71	U
61	U
75	U
96	U
57	U
32	U
24	U
9	U
38	U
63	U
91	U
76	U
198	U
17	U
8	U
124	U
98	U
21	U
22	U
99	U
65	U
132.5	U
87	U
32	U
12	U
35	U
35	U
33	U
46	U
55	U
46	U
54	U
58	U
58	U
32	U
38	U
27	U
17	U
28	U
38	U
37	U
54	U
27	U
59	U
60	U
33	U
16	U
11	U
40	U
47	U
35	U
28	U
40	U
56	U
57	U
62	U
56	U
39	U
41	U
12	U
29	U
52	U
48	U
57	U
54	U
45	U
42	U
44	U
45	U
37	U
37	U
56	U
51	U
48	U
26	U
34	U
47	U
46	U
36	U
37	U
36	U
31	U
40	U
40	U
38	U
41	U
47	U
57	U
50	U
43	U
47	U
48	U
54	U
38	U
53	U
56	U
46	U
30	U
26	U
40	U
41	U
44	U
41	U
46	U
63	U
56	U
51	U
47	U
39	U
45	U
40	U
47	U
52	U
47	U
55	U
52	U
61	U
59	U
49	U
38	U
53	U
60	U
53	U
47	U
54	U
58	U
49	U
46	U
100	U
15	U
58	U
99	U
165	U
95	U
51	U
370	U
447	U
105	U
132	U
77	U
47	U
76	U
40	U
43	U
29	U
75	U
12	U
73	U
97	U
34	U
34	U
36	U
381	U
26	U
17	U
3	U
88	U
91	U
105	U
3	U
5	U
48	U
56	U
62	U
60	U
38	U
100	U
28	U
45	U
80	U
61	U
39	U
8	U
7	U
29	U
40	U
49	U
46	U
77	U
125	U
33	U
34	U
81	U
102	U
50	U
6	U
174	U
117	U
124	U
171	U
91	U
123	U
57	U
64	U
51	U
11	U
292	U
53	U
75	U
55	U
45	U
20	U
44	U
132	U
47	U
51	U
896	U
44	U
77	U
81	U
85	U
201	U
548.5	U
459	U
44	U
39	U
27	U
65	U
23	U
132	U
126	U
32	U
141	U
217	U
65	U
59	U
7	U
5	U
37	U
44	U
113	U
47	U
61	U
43	U
32	U
106	U
89	U
9	U
15	U
127	U
31	U
144	U
25	U
15	U
120	U
28	U
7	U
11	U
15	U
7	U
5	U
20	U
67	U
41	U
197	U
40	U
53	U
19	U
154	U
15	U
36	U
7	U
20	U
60	U
53	U
48	U
37	U
29	U
23	U
30	U
18	U
4	U
4	U
23	U
29	U
38	U
34	U
32	U
30	U
29	U
30	U
30	U
15	U
10	U
26	U
24	U
47	U
22	U
10	U
36	U
50	U
59	U
56	U
38	U
35	U
35	U
49	U
51	U
61	U
54	U
48	U
52	U
59	U
59	U
49	U
48	U
48	U
48	U
38	U
52	U
57	U
67	U
66	U
65	U
60	U
48	U
217	U
277	U
27	U
25	U
66	U
64	U
44	U
77	U
42	U
50	U
78	U
24	U
59	U
24	U
9	U
53	U
185	U
237	U
163	U
58	U
59	U
43	U
113	U
16	U
30	U
68	U
42	U
53	U
36	U
130	U
44	U
34	U
33	U
47	U
19	U
18	U
80	U
42	U
54	U
73	U
132	U
681	U
23	U
46	U
29	U
16	U
76	U
54	U
45	U
46	U
40	U
42	U
47	U
25	U
21	U
75	U
145	U
99	U
123	U
82	U
67	U
73	U
34	U
28	U
31	U
33	U
39	U
33	U
41	U
43	U
43	U
47	U
50	U
46	U
46	U
43	U
58	U
41	U
46	U
49	U
41	U
38	U
41	U
45	U
45	U
30	U
35	U
30	U
33	U
38	U
41	U
39	U
51	U
49	U
55	U
61	U
54	U
42	U
54	U
61	U
55	U
46	U
44	U
44	U
54	U
39	U
43	U
38	U
6	U
8	U
26	U
35	U
42	U
53	U
71	U
133	U
124	U
65	U
58	U
85	U
101	U
107	U
166	U
36	U
35	U
25	U
52	U
54	U
43	U
106	U
10	U
28	U
30	U
7	U
9	U
52	U
61	U
92	U
42	U
14	U
101	U
40	U
65	U
20	U
58	U
18	U
35	U
58	U
100	U
59	U
10	U
25	U
51	U
99	U
65	U
100	U
21	U
59	U
34	U
49	U
31	U
33	U
39	U
41	U
40	U
49	U
61	U
236	U
102	U
105	U
51	U
51	U
60	U
13	U
11	U
59	U
77	U
82	U
56	U
34	U
28	U
74.5	U
26	U
27	U
61	U
67	U
58	U
107	U
15	U
11	U
103	U
15	U
116	U
52	U
76	U
237	U
286	U
94	U
92	U
95	U
36	U
2	U
36	U
46	U
42	U
43	U
43	U
36	U
39	U
37	U
46	U
141	U
80	U
45	U
53	U
63	U
54	U
32	U
37	U
30	U
5	U
70	U
38	U
54	U
86	U
49	U
26	U
32	U
34	U
37	U
27	U
24	U
20	U
13	U
188	U
58	U
47	U
46	U
265	U
324	U
66	U
43	U
77	U
36	U
55	U
24	U
62	U
30	U
36	U
29	U
25	U
54	U
22	U
26	U
64	U
22	U
41	U
34	U
38	U
263	U
52	U
61	U
61	U
63	U
69	U
59	U
72	U
71	U
71	U
68	U
65	U
58	U
62	U
72	U
65	U
58	U
57	U
51	U
61	U
47	U
40	U
41	U
16	U
11	U
42	U
18	U
2	U
2	U
17	U
37	U
43	U
42	U
47	U
52	U
55	U
40	U
33	U
32	U
39	U
34	U
34	U
45	U
49	U
53	U
63	U
70	U
69	U
51	U
32	U
113	U
92	U
58	U
204	U
189	U
28	U
39	U
52	U
76	A
115	A
104	A
110	A
117	A
128	A
119	A
138	A
144	A
137	A
136	A
134	A
127	A
158	A
138	A
142	A
162	A
188	A
163	A
