mel_Y	mel_other	mau_Y	mau_other	sim_Y	sim_other	sec_Y	sec_other
25508	121578	50773	66546	115305	37176	0	85765
0	182	0	298939	0	238038	19287	296935
0	40575	18911	93328	0	136882	13771	299286
14138	17215	0	31023	9015	27980	17512	17767
17733	14321	10888	19968	3343	25126	0	41460
14692	55651	4220	53402	0	84612	0	69051
5250	89176	5250	79247	0	53408	0	124478
21	3825	7100	73515	0	36466	13191	160422
104	5145	7554	4854	2409	9904	0	5807
0	430	198	278	0	971	36681	1209
38958	122494	0	0	0	182	0	502
0	0	0	35	0	684	13365	604
0	1181	219	3922	12258	733	0	476
38087	114660	0	0	0	286	0	101
103	6581	36403	30565	1521	39105	162	84713
0	0	81445	111365	0	439	25190	124202
0	0	30733	53346	0	185	5511	1919
19350	72180	200164	194617	1927	300153	167090	290238
4729	373	317868	547266	7290	785035	50349	21885
0	4114	30752	5552	3958	330922	8356	8248
69220	605547	1602	11488	52	18727	3459	28889
2395	13350	159	9917	8060	2561	3698	9322
7303	19001	10086	16973	246	24981	4309	20180
0	418	171324	276820	4250	406722	69536	324116
1884	34219	134302	415706	4365	424125	101130	419623
0	83046	20853	23918	21894	27950	1410	61409
19733	18120	61313	216011	15073	436750	4230	558311
17317	35570	323	484	82	79	0	36
1330	23855	21449	28243	1372	74937	2755	35402
2044	721	10484	2358	731	314	2643	43279
0	0	0	0	0	0	58802	637696
29429	95787	78282	86099	15581	11516	2864	47943
3476	18500	7155	10747	198	5510	51454	498434
2553	71891	1743	40293	27886	30880	6648	41438
148135	439603	269074	347005	74557	390422	46103	1008110
1234	11700	2992	12998	514	14115	5755	12432
1292	161235	10326	183921	67347	108297	8068	135020
260931	304160	15626	17541	2659	16490	1246	23452
19826	29250	8120	125800	28853	36743	63626	109682
42266	64494	30685	43002	20699	64039	6102	110378
174	209	8911	1196	151	0	24479	142550
18175	25973	6941	9196	274	2942	23386	13114
0	219882	38832	248064	4585	184029	3936	192393
23669	48476	12394	6611	982	5947	1542	15844
1239	44693	3513	3591	4878	5833	589	6949
0	0	327	0	0	0	22596	111212
498	14494	2242	41957	5130	43954	28660	56571
9081	3364	10571	19853	9020	8212	2051	22066
18615	43743	9113	11000	2266	24041	7511	13771
0	6997	52232	28849	18065	19443	5637	36176
17188	92329	47689	20300	17048	32011	9191	59177
21501	61160	3033	28087	13032	26406	20506	25031
0	10569	37028	5605	9880	29993	9874	40952
0	4397	1714	16170	10553	16144	1921	14268
0	234	39404	15983	4795	14530	3243	16852
168788	131644	119901	184939	40252	228015	212891	111446
11662	7386	7035	4942	1337	4418	1375	8692
3799	14304	2771	13481	2542	983	5450	7130
1858	26624	65623	66464	6363	47762	29510	79629
44752	201057	24036	309668	6224	251247	5644	285598
5950	43845	17990	37789	41598	36006	8397	52640
8469	76919	54521	55341	6707	45451	39736	127303
191657	1259431	8982	297341	26940	416944	23252	183715
961657	198800	504768	217152	29276	119676	86055	251581
0	10500	36175	15831	13665	15797	2097	9000
16728	89474	10025	20195	3784	23691	22384	23338
142374	136692	86661	52789	16658	75623	52886	135447
0	1736	62116	120034	0	0	0	0
115711	122720	5785	18583	32752	20178	6839	28307
4031	16913	12812	6413	64614	3776	4020	9982
0	130754	18347	90885	11632	107816	44294	90926
1313	8317	17039	3413	12242	8864	2374	6853
36808	102101	55723	34118	34780	37617	9946	40411
126	6560	1379	7877	6642	7705	3678	6951
0	0	53212	94193	0	0	135	200
13092	59215	10060	25176	6317	40687	7881	74174
2484	23856	5080	7995	1820	9356	1353	8486
64291	70429	66182	39159	14121	38783	246333	92973
5467	5081	41118	23746	21580	2928	23262	52176
1328	6188	11730	1798	15027	1589	8827	16249
5209	14301	2954	18521	2005	6318	6481	9764
104535	187284	220104	126275	57401	104864	51837	182466
825	30118	9074	12245	1591	8721	2417	9693
22087	45446	346	5684	558	5050	1776	9083
1294	388	7777	897	665	709	1229	2525
1860	22828	8649	15033	4387	15672	2330	15173
61061	166405	17297	36227	55643	26282	16731	47300
4198	19783	87459	12559	8286	16625	55699	73209
