Species	TE	location	chr	length	len_proportion
Dmau	5.8S	Contig10	U	124	1.008130081
Dmau	5.8S	Contig102	U	124	1.008130081
Dmau	5.8S	Contig102	U	124	1.008130081
Dmau	5.8S	Contig102	U	124	1.008130081
Dmau	5.8S	Contig102	U	124	1.008130081
Dmau	5.8S	Contig102	U	124	1.008130081
Dmau	5.8S	Contig102	U	124	1.008130081
Dmau	5.8S	Contig102	U	124	1.008130081
Dmau	5.8S	Contig102	U	124	1.008130081
Dmau	5.8S	Contig102	U	124	1.008130081
Dmau	5.8S	Contig102	U	123	1
Dmau	5.8S	Contig102	U	124	1.008130081
Dmau	5.8S	Contig102	U	124	1.008130081
Dmau	5.8S	Contig102	U	124	1.008130081
Dmau	5.8S	Contig102	U	124	1.008130081
Dmau	5.8S	Contig102	U	124	1.008130081
Dmau	5.8S	Contig102	U	124	1.008130081
Dmau	5.8S	Contig11	U	124	1.008130081
Dmau	5.8S	Contig11	U	124	1.008130081
Dmau	5.8S	Contig113	U	125	1.016260163
Dmau	5.8S	Contig113	U	124	1.008130081
Dmau	5.8S	Contig113	U	124	1.008130081
Dmau	5.8S	Contig114	U	124	1.008130081
Dmau	5.8S	Contig114	U	124	1.008130081
Dmau	5.8S	Contig114	U	124	1.008130081
Dmau	5.8S	Contig114	U	124	1.008130081
Dmau	5.8S	Contig114	U	124	1.008130081
Dmau	5.8S	Contig114	U	124	1.008130081
Dmau	5.8S	Contig114	U	124	1.008130081
Dmau	5.8S	Contig116	U	124	1.008130081
Dmau	5.8S	Contig116	U	124	1.008130081
Dmau	5.8S	Contig119	U	124	1.008130081
Dmau	5.8S	Contig121	U	123	1
Dmau	5.8S	Contig14	U	124	1.008130081
Dmau	5.8S	Contig147	U	124	1.008130081
Dmau	5.8S	Contig147	U	124	1.008130081
Dmau	5.8S	Contig147	U	124	1.008130081
Dmau	5.8S	Contig147	U	124	1.008130081
Dmau	5.8S	Contig147	U	124	1.008130081
Dmau	5.8S	Contig147	U	124	1.008130081
Dmau	5.8S	Contig32	U	124	1.008130081
Dmau	5.8S	Contig32	U	124	1.008130081
Dmau	5.8S	Contig32	U	124	1.008130081
Dmau	5.8S	Contig32	U	124	1.008130081
Dmau	5.8S	Contig39	U	124	1.008130081
Dmau	5.8S	Contig39	U	124	1.008130081
Dmau	5.8S	Contig39	U	124	1.008130081
Dmau	5.8S	Contig39	U	124	1.008130081
Dmau	5.8S	Contig39	U	124	1.008130081
Dmau	5.8S	Contig43	U	124	1.008130081
Dmau	5.8S	Contig43	U	124	1.008130081
Dmau	5.8S	Contig48	U	124	1.008130081
Dmau	5.8S	Contig48	U	124	1.008130081
Dmau	5.8S	Contig48	U	124	1.008130081
Dmau	5.8S	Contig48	U	123	1
Dmau	5.8S	Contig48	U	124	1.008130081
Dmau	5.8S	Contig48	U	124	1.008130081
Dmau	5.8S	Contig48	U	184	1.495934959
Dmau	5.8S	Contig48	U	124	1.008130081
Dmau	5.8S	Contig48	U	122	0.991869919
Dmau	5.8S	Contig48	U	124	1.008130081
Dmau	5.8S	Contig49	U	124	1.008130081
Dmau	5.8S	Contig49	U	124	1.008130081
Dmau	5.8S	Contig49	U	124	1.008130081
Dmau	5.8S	Contig49	U	124	1.008130081
Dmau	5.8S	Contig49	U	122	0.991869919
Dmau	5.8S	Contig5	U	124	1.008130081
Dmau	5.8S	Contig5	U	124	1.008130081
Dmau	5.8S	Contig5	U	124	1.008130081
Dmau	5.8S	Contig52	U	124	1.008130081
Dmau	5.8S	Contig52	U	124	1.008130081
Dmau	5.8S	Contig52	U	124	1.008130081
Dmau	5.8S	Contig52	U	124	1.008130081
Dmau	5.8S	Contig52	U	124	1.008130081
Dmau	5.8S	Contig52	U	124	1.008130081
Dmau	5.8S	Contig52	U	124	1.008130081
Dmau	5.8S	Contig52	U	124	1.008130081
Dmau	5.8S	Contig53	U	124	1.008130081
Dmau	5.8S	Contig53	U	124	1.008130081
Dmau	5.8S	Contig53	U	124	1.008130081
Dmau	5.8S	Contig53	U	124	1.008130081
Dmau	5.8S	Contig54	U	124	1.008130081
Dmau	5.8S	Contig55	U	129	1.048780488
Dmau	5.8S	Contig55	U	124	1.008130081
Dmau	5.8S	Contig55	U	124	1.008130081
Dmau	5.8S	Contig55	U	124	1.008130081
Dmau	5.8S	Contig55	U	124	1.008130081
Dmau	5.8S	Contig55	U	124	1.008130081
Dmau	5.8S	Contig55	U	123	1
Dmau	5.8S	Contig56	U	124	1.008130081
Dmau	5.8S	Contig56	U	124	1.008130081
