indel	species	pos
-21	mel	Y
-5	mel	Y
-4	mel	Y
-4	mel	Y
-3	mel	Y
-2	mel	Y
-2	mel	Y
-1	mel	Y
-1	mel	Y
-1	mel	Y
-1	mel	Y
-1	mel	Y
-1	mel	Y
-1	mel	Y
-1	mel	Y
-1	mel	Y
-1	mel	Y
-1	mel	Y
-1	mel	Y
-1	mel	Y
-1	mel	Y
-1	mel	Y
-1	mel	Y
-1	mel	Y
-1	mel	Y
-1	mel	Y
1	mel	Y
1	mel	Y
1	mel	Y
1	mel	Y
1	mel	Y
1	mel	Y
1	mel	Y
1	mel	Y
2	mel	Y
3	mel	Y
-770	sim	Y
-118	sim	Y
-114	sim	Y
-48	sim	Y
-43	sim	Y
-34	sim	Y
-21	sim	Y
-20	sim	Y
-16	sim	Y
-16	sim	Y
-14	sim	Y
-11	sim	Y
-10	sim	Y
-9	sim	Y
-3	sim	Y
-1	sim	Y
-1	sim	Y
-1	sim	Y
1	sim	Y
1	sim	Y
1	sim	Y
3	sim	Y
3	sim	Y
4	sim	Y
12	sim	Y
13	sim	Y
19	sim	Y
-49	sec	Y
-47	sec	Y
-21	sec	Y
-17	sec	Y
-11	sec	Y
-11	sec	Y
-6	sec	Y
-6	sec	Y
-5	sec	Y
-1	sec	Y
-1	sec	Y
-1	sec	Y
-1	sec	Y
-1	sec	Y
-1	sec	Y
1	sec	Y
2	sec	Y
3	sec	Y
6	sec	Y
6	sec	Y
6	sec	Y
13	sec	Y
-503	mau	Y
-325	mau	Y
-313	mau	Y
-167	mau	Y
-127	mau	Y
-123	mau	Y
-114	mau	Y
-82	mau	Y
-76	mau	Y
-64	mau	Y
-57	mau	Y
-53	mau	Y
-31	mau	Y
-30	mau	Y
-30	mau	Y
-26	mau	Y
-21	mau	Y
-20	mau	Y
-14	mau	Y
-14	mau	Y
-14	mau	Y
-14	mau	Y
-12	mau	Y
-12	mau	Y
-11	mau	Y
-11	mau	Y
-11	mau	Y
-10	mau	Y
-10	mau	Y
-9	mau	Y
-8	mau	Y
-7	mau	Y
-7	mau	Y
-6	mau	Y
-6	mau	Y
-6	mau	Y
-6	mau	Y
-6	mau	Y
-6	mau	Y
-6	mau	Y
-5	mau	Y
-4	mau	Y
-4	mau	Y
-4	mau	Y
-3	mau	Y
-3	mau	Y
-3	mau	Y
-3	mau	Y
-3	mau	Y
-3	mau	Y
-1	mau	Y
-1	mau	Y
-1	mau	Y
-1	mau	Y
-1	mau	Y
-1	mau	Y
-1	mau	Y
-1	mau	Y
-1	mau	Y
-1	mau	Y
-1	mau	Y
-1	mau	Y
-1	mau	Y
-1	mau	Y
-1	mau	Y
-1	mau	Y
-1	mau	Y
-1	mau	Y
-1	mau	Y
-1	mau	Y
-1	mau	Y
-1	mau	Y
-1	mau	Y
-1	mau	Y
-1	mau	Y
-1	mau	Y
-1	mau	Y
-1	mau	Y
-1	mau	Y
-1	mau	Y
-1	mau	Y
-1	mau	Y
-1	mau	Y
1	mau	Y
1	mau	Y
1	mau	Y
1	mau	Y
1	mau	Y
1	mau	Y
1	mau	Y
1	mau	Y
1	mau	Y
1	mau	Y
1	mau	Y
1	mau	Y
2	mau	Y
2	mau	Y
2	mau	Y
3	mau	Y
3	mau	Y
3	mau	Y
4	mau	Y
4	mau	Y
4	mau	Y
4	mau	Y
4	mau	Y
5	mau	Y
5	mau	Y
5	mau	Y
5	mau	Y
6	mau	Y
9	mau	Y
9	mau	Y
12	mau	Y
15	mau	Y
276	mau	Y
-99	sim_clade	Y
-54	sim_clade	Y
-34	sim_clade	Y
-12	sim_clade	Y
-10	sim_clade	Y
-8	sim_clade	Y
-3	sim_clade	Y
-3	sim_clade	Y
-2	sim_clade	Y
-1	sim_clade	Y
-1	sim_clade	Y
-1	sim_clade	Y
-1	sim_clade	Y
1	sim_clade	Y
6	sim_clade	Y
-4	mel	mel_A
-6	mel	mel_A
1	mel	mel_A
-10	mel	mel_A
-7	mel	mel_A
20	mel	mel_A
-10	mel	mel_A
1	mel	mel_A
-11	mel	mel_A
4	mel	mel_A
-8	mel	mel_A
-1	mel	mel_A
5	mel	mel_A
-11	mel	mel_A
-5	mel	mel_A
6	mel	mel_A
-2	mel	mel_A
-1	mel	mel_A
1	mel	mel_A
14	mel	mel_A
-41	mel	mel_A
-57	mel	mel_A
4	mel	mel_A
2	mel	mel_A
-13	mel	mel_A
-9	mel	mel_A
-5	mel	mel_A
1	mel	mel_A
-1	mel	mel_A
-5	mel	mel_A
-7	mel	mel_A
1	mel	mel_A
-1	mel	mel_A
1	mel	mel_A
-1	mel	mel_A
1	mel	mel_A
3	mel	mel_A
-2	mel	mel_A
7	mel	mel_A
-29	mel	mel_A
4	mel	mel_A
-6	mel	mel_A
-1	mel	mel_A
-11	mel	mel_A
7	mel	mel_A
-2	mel	mel_A
1	mel	mel_A
14	mel	mel_A
-7	mel	mel_A
-31	mel	mel_A
-8	mel	mel_A
1	mel	mel_A
-10	mel	mel_A
-4	mel	mel_A
-10	mel	mel_A
-1	mel	mel_A
-1	mel	mel_A
-1	mel	mel_A
-15	mel	mel_A
-14	mel	mel_A
5	mel	mel_A
1	mel	mel_A
2	mel	mel_A
7	mel	mel_A
10	mel	mel_A
1	mel	mel_A
1	mel	mel_A
-1	mel	mel_A
-1	mel	mel_A
-14	mel	mel_A
9	mel	mel_A
3	mel	mel_A
-1	mel	mel_A
-2	mel	mel_A
-29	mel	mel_A
3	mel	mel_A
-4	mel	mel_A
-11	mel	mel_A
5	mel	mel_A
-1	mel	mel_A
5	mel	mel_A
-2	mel	mel_A
1	mel	mel_A
16	mel	mel_A
-2	mel	mel_A
-1	mel	mel_A
-1	mel	mel_A
1	mel	mel_A
-9	mel	mel_A
-15	mel	mel_A
6	mel	mel_A
6	mel	mel_A
-8	mel	mel_A
2	mel	mel_A
1	mel	mel_A
4	mel	mel_A
1	mel	mel_A
-5	mel	mel_A
3	mel	mel_A
-1	mel	mel_A
-5	mel	mel_A
1	mel	mel_A
7	mel	mel_A
-3	mel	mel_A
-67	mel	mel_A
-41	mel	mel_A
-68	mel	mel_A
-1	mel	mel_A
1	mel	mel_A
-1	mel	mel_A
-5	mel	mel_A
1	mel	mel_A
-2	mel	mel_A
-4	mel	mel_A
-2	mel	mel_A
-1	mel	mel_A
-27	mel	mel_A
-30	mel	mel_A
-34	mel	mel_A
-11	mel	mel_A
-12	mel	mel_A
-8	mel	mel_A
2	mel	mel_A
-33	mel	mel_A
-5	mel	mel_A
-4	mel	mel_A
-21	mel	mel_A
5	mel	mel_A
2	mel	mel_A
-2	mel	mel_A
-2	mel	mel_A
-10	mel	mel_A
-5	mel	mel_A
-7	mel	mel_A
3	mel	mel_A
-3	mel	mel_A
-1	mel	mel_A
-3	mel	mel_A
-27	mel	mel_A
-1	mel	mel_A
2	mel	mel_A
