length	N_Gap	Species	Gene	Group
2163144	T	Dmel	wdy	1
223867	T	Dmel	wdy	2
60	F	Dmel	wdy	3
32113	F	Dmel	wdy	4
61	F	Dmel	wdy	5
44802	F	Dsim	wdy	1
83837	F	Dsim	wdy	2
60	F	Dsim	wdy	3
143543	T	Dsim	wdy	4
61	F	Dsim	wdy	5
219832	T	Dmau	wdy	1
269662	T	Dmau	wdy	2
60	F	Dmau	wdy	3
627067	T	Dmau	wdy	4
61	F	Dmau	wdy	5
NA	T	Dsech	wdy	1
48558	F	Dsech	wdy	2
60	F	Dsech	wdy	3
146691	T	Dsech	wdy	4
61	F	Dsech	wdy	5
29298	T	Dmel	PRY	1
31977	F	Dmel	PRY	2
31493	F	Dsim	PRY	1
139809	F	Dsim	PRY	2
79207	T	Dmau	PRY	1
64344	T	Dmau	PRY	2
48611	F	Dsech	PRY	1
105432	T	Dsech	PRY	2
20031	T	Dmel	CCY	1
172970	T	Dmel	CCY	2
0	F	Dmel	CCY	3
0	F	Dmel	CCY	4
0	F	Dmel	CCY	5
49	F	Dmel	CCY	6
489699	F	Dsim	CCY	1
753261	T	Dsim	CCY	2
0	F	Dsim	CCY	3
0	F	Dsim	CCY	4
0	F	Dsim	CCY	5
54	F	Dsim	CCY	6
550949	F	Dmau	CCY	1
706811	F	Dmau	CCY	2
0	F	Dmau	CCY	3
0	F	Dmau	CCY	4
0	F	Dmau	CCY	5
54	F	Dmau	CCY	6
416946	T	Dsech	CCY	1
1402545	T	Dsech	CCY	2
0	F	Dsech	CCY	3
0	F	Dsech	CCY	4
0	F	Dsech	CCY	5
54	F	Dsech	CCY	6
59	F	Dmel	ARY	1
51	F	Dmel	ARY	2
61	F	Dmel	ARY	3
56	F	Dmel	ARY	4
60	F	Dsim	ARY	1
51	F	Dsim	ARY	2
59	F	Dsim	ARY	3
57	F	Dsim	ARY	4
60	F	Dmau	ARY	1
50	F	Dmau	ARY	2
59	F	Dmau	ARY	3
57	F	Dmau	ARY	4
60	F	Dsech	ARY	1
50	F	Dsech	ARY	2
59	F	Dsech	ARY	3
57	F	Dsech	ARY	4
67	F	Dmel	ORY	1
153761	T	Dmel	ORY	2
54	F	Dmel	ORY	3
123682	T	Dmel	ORY	4
280	F	Dmel	ORY	5
53	F	Dmel	ORY	6
263252	T	Dmel	ORY	7
68	F	Dsim	ORY	1
276667	F	Dsim	ORY	2
53	F	Dsim	ORY	3
163092	F	Dsim	ORY	4
283	F	Dsim	ORY	5
64	F	Dsim	ORY	6
993322	F	Dsim	ORY	7
68	F	Dmau	ORY	1
340669	F	Dmau	ORY	2
53	F	Dmau	ORY	3
182455	F	Dmau	ORY	4
283	F	Dmau	ORY	5
64	F	Dmau	ORY	6
345055	F	Dmau	ORY	7
68	F	Dsech	ORY	1
332231	F	Dsech	ORY	2
53	F	Dsech	ORY	3
147675	F	Dsech	ORY	4
282	F	Dsech	ORY	5
64	F	Dsech	ORY	6
974785	F	Dsech	ORY	7
103878	F	Dmel	PPr-Y	1
1888	T	Dmel	PPr-Y	2
638953	T	Dmel	PPr-Y	3
